frame,hp_p1,hp_p2,x_p1,x_p2,distance,action_id
30026,100.0,100.0,360.0,552.0,192.0,2
30027,100.0,100.0,368.0,544.0,176.0,2
30028,100.0,100.0,376.0,552.0,176.0,2
30029,100.0,100.0,384.0,544.0,160.0,2
30030,100.0,100.0,392.0,552.0,160.0,2
30031,100.0,100.0,400.0,544.0,144.0,2
30032,100.0,100.0,400.0,536.0,136.0,6
30033,100.0,100.0,400.0,528.0,128.0,6
30034,100.0,100.0,408.0,528.0,120.0,2
30035,100.0,100.0,416.0,536.0,120.0,2
30036,100.0,100.0,424.0,528.0,104.0,2
30037,100.0,100.0,424.0,520.0,96.0,8
30038,100.0,100.0,424.0,520.0,96.0,5
30039,100.0,100.0,424.0,520.0,96.0,8
30040,100.0,100.0,424.0,528.0,104.0,8
30041,100.0,100.0,432.0,536.0,104.0,2
30042,100.0,100.0,432.0,536.0,104.0,7
30043,100.0,100.0,432.0,544.0,112.0,8
30044,100.0,100.0,432.0,552.0,120.0,8
30045,100.0,100.0,432.0,552.0,120.0,8
30046,100.0,100.0,440.0,552.0,112.0,2
30047,100.0,100.0,448.0,544.0,96.0,2
30048,93.0,100.0,456.0,544.0,88.0,2
30049,93.0,100.0,456.0,552.0,96.0,6
30050,93.0,93.0,456.0,544.0,88.0,8
30051,93.0,93.0,456.0,536.0,80.0,9
30052,93.0,93.0,456.0,536.0,80.0,9
30053,93.0,93.0,456.0,536.0,80.0,9
30054,93.0,93.0,456.0,536.0,80.0,9
30055,91.0,93.0,456.0,536.0,80.0,9
30056,91.0,93.0,456.0,536.0,80.0,9
30057,89.0,93.0,456.0,536.0,80.0,9
30058,87.0,93.0,456.0,536.0,80.0,9
30059,85.0,93.0,456.0,536.0,80.0,9
30060,85.0,93.0,456.0,536.0,80.0,9
30061,85.0,93.0,456.0,536.0,80.0,9
30062,85.0,93.0,456.0,536.0,80.0,9
30063,78.0,93.0,456.0,536.0,80.0,0
30064,76.0,93.0,456.0,536.0,80.0,9
30065,76.0,93.0,456.0,536.0,80.0,9
30066,73.0,93.0,456.0,536.0,80.0,0
30067,70.0,93.0,456.0,536.0,80.0,0
30068,68.0,93.0,456.0,536.0,80.0,9
30069,68.0,93.0,456.0,536.0,80.0,9
30070,66.0,93.0,456.0,536.0,80.0,9
30071,64.0,93.0,456.0,536.0,80.0,9
30072,64.0,93.0,456.0,536.0,80.0,9
30073,64.0,93.0,456.0,536.0,80.0,9
30074,64.0,93.0,456.0,536.0,80.0,9
30075,64.0,93.0,456.0,536.0,80.0,9
30076,62.0,93.0,456.0,536.0,80.0,9
30077,59.0,90.0,456.0,536.0,80.0,5
30078,57.0,90.0,456.0,536.0,80.0,9
30079,55.0,90.0,456.0,536.0,80.0,9
30080,53.0,90.0,456.0,536.0,80.0,9
30081,51.0,90.0,456.0,536.0,80.0,9
30082,49.0,90.0,456.0,536.0,80.0,9
30083,46.0,87.0,456.0,536.0,80.0,5
30084,39.0,87.0,456.0,536.0,80.0,0
30085,37.0,87.0,456.0,536.0,80.0,9
30086,37.0,87.0,456.0,536.0,80.0,9
30087,37.0,87.0,456.0,536.0,80.0,9
30088,30.0,84.0,456.0,536.0,80.0,5
30089,23.0,81.0,456.0,536.0,80.0,5
30090,23.0,81.0,456.0,536.0,80.0,9
30091,21.0,81.0,456.0,536.0,80.0,9
30092,14.0,78.0,456.0,536.0,80.0,5
30093,7.0,78.0,456.0,536.0,80.0,0
30094,5.0,78.0,456.0,536.0,80.0,9
30095,0.0,75.0,456.0,536.0,80.0,5
40000,100.0,100.0,208.0,752.0,544.0,2
40001,100.0,100.0,216.0,744.0,528.0,2
40002,100.0,100.0,216.0,736.0,520.0,3
40003,100.0,100.0,224.0,728.0,504.0,2
40004,100.0,100.0,232.0,720.0,488.0,2
40005,100.0,100.0,240.0,712.0,472.0,2
40006,100.0,100.0,248.0,704.0,456.0,2
40007,100.0,100.0,256.0,696.0,440.0,2
40008,100.0,100.0,264.0,688.0,424.0,2
40009,100.0,100.0,272.0,680.0,408.0,2
40010,100.0,100.0,280.0,672.0,392.0,2
40011,100.0,100.0,288.0,664.0,376.0,2
40012,100.0,100.0,288.0,656.0,368.0,3
40013,100.0,100.0,288.0,648.0,360.0,3
40014,100.0,100.0,288.0,640.0,352.0,3
40015,100.0,100.0,296.0,632.0,336.0,2
40016,100.0,100.0,296.0,624.0,328.0,3
40017,100.0,100.0,304.0,616.0,312.0,2
40018,100.0,100.0,312.0,608.0,296.0,2
40019,100.0,100.0,312.0,600.0,288.0,3
40020,100.0,100.0,320.0,592.0,272.0,2
40021,100.0,100.0,328.0,584.0,256.0,2
40022,100.0,100.0,336.0,576.0,240.0,2
40023,100.0,100.0,336.0,568.0,232.0,3
40024,100.0,100.0,344.0,560.0,216.0,2
40025,100.0,100.0,352.0,552.0,200.0,2
40026,100.0,100.0,360.0,552.0,192.0,2
40027,100.0,100.0,368.0,560.0,192.0,2
40028,100.0,100.0,368.0,560.0,192.0,3
40029,100.0,100.0,368.0,568.0,200.0,3
40030,100.0,100.0,376.0,560.0,184.0,2
40031,100.0,100.0,376.0,560.0,184.0,3
40032,100.0,100.0,376.0,568.0,192.0,3
40033,100.0,100.0,384.0,560.0,176.0,2
40034,100.0,100.0,384.0,552.0,168.0,3
40035,100.0,100.0,384.0,552.0,168.0,8
40036,100.0,100.0,392.0,544.0,152.0,2
40037,100.0,100.0,400.0,536.0,136.0,2
40038,100.0,100.0,400.0,536.0,136.0,6
40039,100.0,100.0,400.0,544.0,144.0,5
40040,100.0,100.0,400.0,552.0,152.0,5
40041,100.0,100.0,400.0,544.0,144.0,8
40042,100.0,100.0,400.0,544.0,144.0,7
40043,100.0,100.0,400.0,552.0,152.0,8
40044,100.0,100.0,408.0,560.0,152.0,2
40045,100.0,100.0,416.0,560.0,144.0,2
40046,100.0,100.0,416.0,568.0,152.0,3
40047,100.0,100.0,424.0,560.0,136.0,2
40048,100.0,100.0,424.0,568.0,144.0,6
40049,100.0,100.0,424.0,568.0,144.0,6
40050,100.0,100.0,432.0,560.0,128.0,2
40051,100.0,100.0,432.0,552.0,120.0,8
40052,100.0,100.0,440.0,552.0,112.0,2
40053,100.0,100.0,448.0,544.0,96.0,2
40054,93.0,100.0,456.0,544.0,88.0,2
40055,93.0,100.0,456.0,552.0,96.0,9
40056,93.0,100.0,456.0,552.0,96.0,3
40057,93.0,93.0,456.0,544.0,88.0,8
40058,91.0,93.0,456.0,544.0,88.0,9
40059,91.0,93.0,456.0,536.0,80.0,9
40060,84.0,93.0,456.0,536.0,80.0,3
40061,84.0,93.0,456.0,536.0,80.0,9
40062,82.0,93.0,456.0,536.0,80.0,9
40063,75.0,90.0,456.0,536.0,80.0,5
40064,75.0,90.0,456.0,536.0,80.0,9
40065,68.0,90.0,456.0,536.0,80.0,0
40066,66.0,90.0,456.0,536.0,80.0,9
40067,64.0,90.0,456.0,536.0,80.0,9
40068,64.0,90.0,456.0,536.0,80.0,9
40069,64.0,90.0,456.0,536.0,80.0,9
40070,57.0,87.0,456.0,536.0,80.0,5
40071,57.0,87.0,456.0,536.0,80.0,9
40072,50.0,84.0,456.0,536.0,80.0,5
40073,43.0,81.0,456.0,536.0,80.0,5
40074,43.0,81.0,456.0,536.0,80.0,9
40075,36.0,81.0,456.0,536.0,80.0,0
40076,34.0,81.0,456.0,536.0,80.0,9
40077,32.0,81.0,456.0,536.0,80.0,9
40078,32.0,81.0,456.0,536.0,80.0,9
40079,29.0,78.0,456.0,536.0,80.0,5
40080,22.0,78.0,456.0,536.0,80.0,0
40081,20.0,78.0,456.0,536.0,80.0,9
40082,18.0,78.0,456.0,536.0,80.0,9
40083,16.0,78.0,456.0,536.0,80.0,9
40084,16.0,78.0,456.0,536.0,80.0,9
40085,14.0,78.0,456.0,536.0,80.0,9
40086,12.0,78.0,456.0,536.0,80.0,9
40087,12.0,78.0,456.0,536.0,80.0,9
40088,9.0,75.0,456.0,536.0,80.0,5
40089,7.0,75.0,456.0,536.0,80.0,9
40090,7.0,75.0,456.0,536.0,80.0,9
40091,7.0,75.0,456.0,536.0,80.0,9
40092,5.0,75.0,456.0,536.0,80.0,9
40093,5.0,75.0,456.0,536.0,80.0,9
40094,5.0,75.0,456.0,536.0,80.0,9
40095,5.0,75.0,456.0,536.0,80.0,9
40096,5.0,75.0,456.0,536.0,80.0,9
40097,3.0,75.0,456.0,536.0,80.0,9
40098,0.0,75.0,456.0,536.0,80.0,3
50000,100.0,100.0,208.0,752.0,544.0,2
50001,100.0,100.0,208.0,744.0,536.0,0
50002,100.0,100.0,216.0,736.0,520.0,2
50003,100.0,100.0,224.0,728.0,504.0,2
50004,100.0,100.0,224.0,720.0,496.0,0
50005,100.0,100.0,232.0,712.0,480.0,2
50006,100.0,100.0,240.0,704.0,464.0,2
50007,100.0,100.0,248.0,696.0,448.0,2
50008,100.0,100.0,256.0,688.0,432.0,2
50009,100.0,100.0,264.0,680.0,416.0,2
50010,100.0,100.0,272.0,672.0,400.0,2
50011,100.0,100.0,280.0,664.0,384.0,2
50012,100.0,100.0,288.0,656.0,368.0,2
50013,100.0,100.0,288.0,648.0,360.0,0
50014,100.0,100.0,296.0,640.0,344.0,2
50015,100.0,100.0,296.0,632.0,336.0,3
50016,100.0,100.0,296.0,624.0,328.0,3
50017,100.0,100.0,304.0,616.0,312.0,2
50018,100.0,100.0,304.0,608.0,304.0,0
50019,100.0,100.0,312.0,600.0,288.0,2
50020,100.0,100.0,320.0,592.0,272.0,2
50021,100.0,100.0,328.0,584.0,256.0,2
50022,100.0,100.0,336.0,576.0,240.0,2
50023,100.0,100.0,344.0,568.0,224.0,2
50024,100.0,100.0,352.0,560.0,208.0,2
50025,100.0,100.0,352.0,552.0,200.0,3
50026,100.0,100.0,360.0,560.0,200.0,2
50027,100.0,100.0,360.0,552.0,192.0,0
50028,100.0,100.0,360.0,552.0,192.0,3
50029,100.0,100.0,360.0,560.0,200.0,3
50030,100.0,100.0,368.0,568.0,200.0,2
50031,100.0,100.0,368.0,576.0,208.0,0
50032,100.0,100.0,376.0,568.0,192.0,2
50033,100.0,100.0,384.0,576.0,192.0,2
50034,100.0,100.0,392.0,568.0,176.0,2
50035,100.0,100.0,400.0,576.0,176.0,2
50036,100.0,100.0,400.0,576.0,176.0,5
50037,100.0,100.0,400.0,584.0,184.0,6
50038,100.0,100.0,408.0,576.0,168.0,2
50039,100.0,100.0,408.0,568.0,160.0,8
50040,100.0,100.0,408.0,568.0,160.0,8
50041,100.0,100.0,408.0,568.0,160.0,3
50042,100.0,100.0,416.0,576.0,160.0,2
50043,100.0,100.0,416.0,568.0,152.0,8
50044,100.0,100.0,416.0,560.0,144.0,5
50045,100.0,100.0,416.0,568.0,152.0,8
50046,100.0,100.0,424.0,576.0,152.0,2
50047,100.0,100.0,424.0,584.0,160.0,3
50048,100.0,100.0,424.0,576.0,152.0,3
50049,100.0,100.0,424.0,576.0,152.0,8
50050,100.0,100.0,424.0,584.0,160.0,7
50051,100.0,100.0,432.0,584.0,152.0,2
50052,100.0,100.0,440.0,584.0,144.0,2
50053,100.0,100.0,448.0,592.0,144.0,2
50054,100.0,100.0,448.0,600.0,152.0,7
50055,100.0,100.0,448.0,592.0,144.0,8
50056,100.0,100.0,448.0,592.0,144.0,5
50057,100.0,100.0,456.0,600.0,144.0,2
50058,100.0,100.0,464.0,608.0,144.0,2
50059,100.0,100.0,464.0,608.0,144.0,5
50060,100.0,100.0,472.0,600.0,128.0,2
50061,100.0,100.0,480.0,592.0,112.0,2
50062,100.0,100.0,488.0,592.0,104.0,2
50063,100.0,100.0,488.0,592.0,104.0,5
50064,100.0,100.0,488.0,592.0,104.0,3
50065,100.0,100.0,488.0,600.0,112.0,3
50066,100.0,100.0,488.0,592.0,104.0,3
50067,100.0,100.0,488.0,600.0,112.0,8
50068,100.0,100.0,488.0,600.0,112.0,6
50069,100.0,100.0,496.0,592.0,96.0,2
50070,100.0,100.0,504.0,584.0,80.0,2
50071,98.0,100.0,504.0,584.0,80.0,9
50072,96.0,100.0,504.0,584.0,80.0,9
50073,96.0,100.0,504.0,584.0,80.0,9
50074,96.0,100.0,504.0,584.0,80.0,9
50075,89.0,97.0,504.0,584.0,80.0,5
